[2023-11-10 20:15:41,405: INFO: main: Welcome to our custom log]
[2023-11-11 10:52:04,014: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-11 10:52:04,017: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-11 10:52:04,018: INFO: common: created directory at: artifacts]
[2023-11-11 10:52:04,019: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-11 10:52:52,256: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-11 10:52:52,259: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-11 10:52:52,260: INFO: common: created directory at: artifacts]
[2023-11-11 10:52:52,262: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-11 10:52:52,263: INFO: 986331348: Downloading data from https://drive.google.com/file/d/14YjDZ07BRa5kVg07D1PFDnvd0hiyhJoY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-11 10:54:11,829: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/14YjDZ07BRa5kVg07D1PFDnvd0hiyhJoY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-11 11:15:48,867: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-11-11 11:15:48,869: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-11 11:15:48,870: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-11 11:15:48,870: INFO: common: created directory at: artifacts]
[2023-11-11 11:15:48,870: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-11 11:15:48,870: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/14YjDZ07BRa5kVg07D1PFDnvd0hiyhJoY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-11 11:16:32,350: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/14YjDZ07BRa5kVg07D1PFDnvd0hiyhJoY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-11 11:16:46,266: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
